Name,Rating,Reviews,Category,Address,Phone,Email,Website,Hours,Google Maps URL
Instituto de Arquitetos Brasil-Departamento do Ceará,4.1,11,Architect,"R. Carapinima, 2425 - Benfica, Fortaleza - CE, 60015-290, Brazil",+55 85 98956-9689,,http://www.iabce.org.br/,Show open hours for the week,"https://www.google.com/maps/place/Instituto+de+Arquitetos+Brasil-Departamento+do+Cear%C3%A1/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c7490e3cddf74d:0xa7e9a030fbbc3184!8m2!3d-3.741229!4d-38.5410754!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlskgEJYXJjaGl0ZWN04AEA!16s%2Fg%2F1thr7d0r?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
BS Design Corporate Towers,4.8,2772,Business center,"Av. Des. Moreira, 1300 - Aldeota, Fortaleza - CE, 60170-002, Brazil",+55 85 99195-7068,,https://bsdesign.com.br/,Show open hours for the week,"https://www.google.com/maps/place/BS+Design+Corporate+Towers/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c74889affe6945:0x51cc07826be74728!8m2!3d-3.737292!4d-38.4991386!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlsWh0iG2FyY2hpdGVjdHMgaW4gY2VhcsOhIGJyYXppbJIBD2J1c2luZXNzX2NlbnRlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOb2MyUllkVkJuRUFF4AEA-gEECAAQDA!16s%2Fg%2F11bzwm7vyx?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
ARKISAM Arquitetura,4.9,12,,,,,,,https://www.google.com/maps/place/ARKISAM+Arquitetura/data=!4m7!3m6!1s0x7c745024fab5457:0x6e057c344ab5e58e!8m2!3d-3.7880492!4d-38.4803465!16s%2Fg%2F11jchx7vg1!19sChIJV1SrTwJFxwcRjuW1SjR8BW4?authuser=0&hl=en&rclk=1
Racine Mourão,4.7,18,,,,,,,https://www.google.com/maps/place/Racine+Mour%C3%A3o/data=!4m7!3m6!1s0x7c748680f5fb87d:0x2f57003eba0fd53c!8m2!3d-3.7269698!4d-38.5047996!16s%2Fg%2F1tcyl7p4!19sChIJfbhfD2hIxwcRPNUPuj4AVy8?authuser=0&hl=en&rclk=1
EXP Brasil,5.0,18,Architecture firm,"R. Ana Bilhar, 987 - SALA 104 - Varjota, Fortaleza - CE, 60160-110, Brazil",+55 85 3086-6020,,https://expbrasil.com/,Show open hours for the week,"https://www.google.com/maps/place/EXP+Brasil/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c749216c1df205:0xa4cc564d4e124741!8m2!3d-3.7309225!4d-38.4904205!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlskgEQY29ycG9yYXRlX29mZmljZeABAA!16s%2Fg%2F11t46ptlnt?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Rhara Assef Arquitetura e Interiores,5.0,33,On-site services,,,,https://www.instagram.com/rhara.arquiteta,,https://www.google.com/maps/place/Rhara+Assef+Arquitetura+e+Interiores/data=!4m7!3m6!1s0x7c749d4e7dadb25:0xfe745a6aafdc99bd!8m2!3d-3.8871684!4d-38.4562603!16s%2Fg%2F11rz9mz633!19sChIJJdva59RJxwcRvZncr2padP4?authuser=0&hl=en&rclk=1
Paulo Ernane Arquitetos,5.0,13,On-site services,,,,,,https://www.google.com/maps/place/Paulo+Ernane+Arquitetos/data=!4m7!3m6!1s0x7c74e587d2dfe05:0x698b2e4736041ea2!8m2!3d-3.7991843!4d-38.5399897!16s%2Fg%2F11c606mrt6!19sChIJBf4tfVhOxwcRoh4ENkcui2k?authuser=0&hl=en&rclk=1
Gina Paiva & Aline Almeida Arquitetura e Interiores,4.8,5,Architect,"R. Cel. Linhares, 2272 - Dionísio Torres, Fortaleza - CE, 60170-241, Brazil",+55 85 3272-7988,,,Show open hours for the week,"https://www.google.com/maps/place/Gina+Paiva+%26+Aline+Almeida+Arquitetura+e+Interiores/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c748972bbaf901:0xbdec5094bda94bfe!8m2!3d-3.748762!4d-38.49816!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlskgEJYXJjaGl0ZWN04AEA!16s%2Fg%2F1tf3zl68?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
CASACOR CEARÁ,4.6,58,,,,,https://casacor.abril.com.br/mostras/ceara/,,https://www.google.com/maps/place/CASACOR+CEAR%C3%81/data=!4m7!3m6!1s0x7c749f6dbe9d09d:0x85c88193282fd1e8!8m2!3d-3.7307831!4d-38.5005603!16s%2Fg%2F11twr72zmf!19sChIJndDp2_ZJxwcR6NEvKJOByIU?authuser=0&hl=en&rclk=1
t3s arquitetura,5.0,2,,,,,https://www.instagram.com/t3s.arquitetura/,,https://www.google.com/maps/place/t3s+arquitetura/data=!4m7!3m6!1s0x7c74f70ee8b8309:0x34bcae19601856d7!8m2!3d-3.7712571!4d-38.4960795!16s%2Fg%2F11j8yc10pj!19sChIJCYOL7nBPxwcR11YYYBmuvDQ?authuser=0&hl=en&rclk=1
