Name,Rating,Reviews,Category,Address,Phone,Email,Website,Hours,Google Maps URL
Pousada Mona Lisa Jericoacoara Ceará,4.7,197,Hotel,,,,,,https://www.google.com/maps/place/Pousada+Mona+Lisa+Jericoacoara+Cear%C3%A1/data=!4m10!3m9!1s0x7e9868ecc5a31bb:0xa63a46023e61a638!5m2!4m1!1i2!8m2!3d-2.7960161!4d-40.517901!16s%2Fg%2F11c2q0kzyg!19sChIJuzFazI6G6QcROKZhPgJGOqY?authuser=0&hl=en&rclk=1
Pousada Araxá,4.3,421,3-star hotel,"R. Angela Marques, 2, Jijoca de Jericoacoara - CE, 62598-970, Brazil",+55 88 99971-9162,,http://www.araxapousada.com/,,"https://www.google.com/maps/place/Pousada+Arax%C3%A1/@-2.7957941,-40.5185377,17z/data=!4m13!1m2!2m1!1spousadas+in+jericoacoara!3m9!1s0x7e9868be0149bcf:0x3427cb12af6d17d4!5m2!4m1!1i2!8m2!3d-2.7973533!4d-40.5165407!15sChhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmEiA4gBAVoaIhhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmGSAQVob3RlbOABAA!16s%2Fg%2F11b7cjwyw8?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Pousada Capitão Thomaz | Jericoacoara,4.3,1246,4-star hotel,"Av. Beira Mar, 202 - Praia de, Jijoca de Jericoacoara - CE, 62598-000, Brazil",+55 88 98136-6714,,http://www.capitaothomaz.com.br/,,"https://www.google.com/maps/place/Pousada+Capit%C3%A3o+Thomaz+%7C+Jericoacoara/@-2.7957941,-40.5185377,17z/data=!4m10!1m2!2m1!1spousadas+in+jericoacoara!3m6!1s0x7e9868f2580b8c5:0x9516fb1ab10505e8!8m2!3d-2.7947202!4d-40.517956!15sChhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmEiA4gBAVoaIhhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmGSAQNpbm7gAQA!16s%2Fg%2F11bbwr9d2t?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Pousada Naquela Jericoacoara,4.6,591,3-star hotel,"R. do Forró, 655 - Centro, Jijoca de Jericoacoara - CE, 62598-000, Brazil",+55 88 99929-0208,,https://naquela.com.br/,,"https://www.google.com/maps/place/Pousada+Naquela+Jericoacoara/@-2.7957941,-40.5185377,17z/data=!4m13!1m2!2m1!1spousadas+in+jericoacoara!3m9!1s0x7e986885e1a676f:0xdbcef3f5f0757f78!5m2!4m1!1i2!8m2!3d-2.794326!4d-40.514268!15sChhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmEiA4gBAVoaIhhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmGSAQNpbm7gAQA!16s%2Fg%2F11b7jhskcj?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Essenza Hotel,4.6,2339,5-star hotel,5-star hotel,,,,,https://www.google.com/maps/place/Essenza+Hotel/data=!4m10!3m9!1s0x7e98685e63e4d21:0x22ebb255d182e387!5m2!4m1!1i2!8m2!3d-2.797001!4d-40.517908!16s%2Fg%2F11b6356b2s!19sChIJIU0-5oWG6QcRh-OC0VWy6yI?authuser=0&hl=en&rclk=1
Villa Chic Hostel / Hostel,4.6,618,2-star hotel,"Rua Principal, s/n - Praia de, Jijoca de Jericoacoara - CE, 62598-000, Brazil",+55 88 99968-5980,,http://www.villachicjeri.com/,,"https://www.google.com/maps/place/Villa+Chic+Hostel+%2F+Hostel/@-2.7957941,-40.5185377,17z/data=!4m11!1m3!2m2!1spousadas+in+jericoacoara!6e4!3m6!1s0x7e986884aa653c5:0xd84f77e02cd8a09!8m2!3d-2.79549!4d-40.513997!15sChhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmEiA4gBAVoaIhhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmGSAQZob3N0ZWzgAQA!16s%2Fg%2F1ptx46msg?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Vila Kalango,4.8,576,4-star hotel,4-star hotel,,,,,https://www.google.com/maps/place/Vila+Kalango/data=!4m10!3m9!1s0x7e986626ebcfa6f:0x8a17a91ded23eafc!5m2!4m1!1i2!8m2!3d-2.7973019!4d-40.5172573!16s%2Fg%2F1tct8ykf!19sChIJb_q8bmKG6QcR_Ooj7R2pF4o?authuser=0&hl=en&rclk=1
Pousada Hippopotamus | Jericoacoara,4.0,524,,,,,,,https://www.google.com/maps/place/Pousada+Hippopotamus+%7C+Jericoacoara/data=!4m10!3m9!1s0x7e98688c900f055:0x149e62263049b16b!5m2!4m1!1i2!8m2!3d-2.7943063!4d-40.5173006!16s%2Fg%2F1ydnty8nq!19sChIJVfAAyYiG6QcRa7FJMCZinhQ?authuser=0&hl=en&rclk=1
Mandala Hostel Jeri,4.6,549,2-star hotel,2-star hotel,,,,,https://www.google.com/maps/place/Mandala+Hostel+Jeri/data=!4m10!3m9!1s0x7e98689b47a62bf:0x2798cb43c28ce318!5m2!4m1!1i2!8m2!3d-2.7954655!4d-40.513769!16s%2Fg%2F11bzy8p925!19sChIJv2J6tImG6QcRGOOMwkPLmCc?authuser=0&hl=en&rclk=1
Pousada Munguba Jericoacoara Ceará,4.7,211,Hotel,,,,,,https://www.google.com/maps/place/Pousada+Munguba+Jericoacoara+Cear%C3%A1/data=!4m10!3m9!1s0x7e98689c6103085:0x4cb7814de7c5d64!5m2!4m1!1i2!8m2!3d-2.7959773!4d-40.5138022!16s%2Fg%2F11c0rvmgrr!19sChIJhTAQxomG6QcRZF183hR4ywQ?authuser=0&hl=en&rclk=1
CasAlice pousada,4.6,419,,,,,,,https://www.google.com/maps/place/CasAlice+pousada/data=!4m10!3m9!1s0x7e98689b50b0277:0xfd1b7d5443dec66!5m2!4m1!1i2!8m2!3d-2.7960813!4d-40.517702!16s%2Fg%2F11bxc5kxg1!19sChIJdwILtYmG6QcRZuw9RNW30Q8?authuser=0&hl=en&rclk=1
Villa Medina Jeri,4.7,563,2-star hotel,2-star hotel,,,,,https://www.google.com/maps/place/Villa+Medina+Jeri/data=!4m10!3m9!1s0x7e9868bce570b7f:0xd28cd0130987420d!5m2!4m1!1i2!8m2!3d-2.7979339!4d-40.5145738!16s%2Fg%2F11bwd6_dw_!19sChIJfwtXzouG6QcRDUKHCRPQjNI?authuser=0&hl=en&rclk=1
Pousada Por do Sol,4.3,412,,,,,,,https://www.google.com/maps/place/Pousada+Por+do+Sol/data=!4m10!3m9!1s0x7e9868be5c5f597:0x3dcf2d842f1e9b98!5m2!4m1!1i2!8m2!3d-2.7986333!4d-40.5153274!16s%2Fg%2F11cp228k8d!19sChIJl_XF5YuG6QcRmJseL4Qtzz0?authuser=0&hl=en&rclk=1
Nova Era Pousada space,4.7,416,2-star hotel,2-star hotel,,,,,https://www.google.com/maps/place/Nova+Era+Pousada+space/data=!4m10!3m9!1s0x7e98688ecf3563b:0xe275b8f86bf6d3db!5m2!4m1!1i2!8m2!3d-2.7942483!4d-40.5160726!16s%2Fg%2F11b7ztwys0!19sChIJO1bz7IiG6QcR29P2a_i4deI?authuser=0&hl=en&rclk=1
Pousada Jericoacoara Casa Elea,4.7,115,Hotel,,,,,,https://www.google.com/maps/place/Pousada+Jericoacoara+Casa+Elea/data=!4m10!3m9!1s0x7e9874b27c7f379:0x959cfb6584e35ade!5m2!4m1!1i2!8m2!3d-2.7997678!4d-40.5140971!16s%2Fg%2F11g4bt0k0_!19sChIJefPHJ0uH6QcR3lrjhGX7nJU?authuser=0&hl=en&rclk=1
Pousada Nativa Jeri,4.9,245,,,,,,,https://www.google.com/maps/place/Pousada+Nativa+Jeri/data=!4m10!3m9!1s0x7e9879373595303:0xa39e9beceb740cef!5m2!4m1!1i2!8m2!3d-2.7966664!4d-40.5174243!16s%2Fg%2F11rsvfg8wn!19sChIJA1NZc5OH6QcR7wx06-ybnqM?authuser=0&hl=en&rclk=1
Pousada Deck Jeri,3.9,239,3-star hotel,3-star hotel,,,,,https://www.google.com/maps/place/Pousada+Deck+Jeri/data=!4m10!3m9!1s0x7e9868915144ae1:0x65fffb53c3df6af2!5m2!4m1!1i2!8m2!3d-2.7963223!4d-40.5164358!16s%2Fg%2F11d_d190cw!19sChIJ4UoUFYmG6QcR8mrfw1P7_2U?authuser=0&hl=en&rclk=1
Viva Jeri | Pousada | Jericoacoara,4.2,610,2-star hotel,2-star hotel,,,,,https://www.google.com/maps/place/Viva+Jeri+%7C+Pousada+%7C+Jericoacoara/data=!4m10!3m9!1s0x7e98688f36d6ab7:0x9f1ff7693acc2496!5m2!4m1!1i2!8m2!3d-2.7945956!4d-40.5164845!16s%2Fg%2F11b63fd_y4!19sChIJt2pt84iG6QcRliTMOmn3H58?authuser=0&hl=en&rclk=1
Pousada La Vie Jeri,4.8,194,3-star hotel,3-star hotel,,,,,https://www.google.com/maps/place/Pousada+La+Vie+Jeri/data=!4m10!3m9!1s0x7e9841e63282f21:0x68f64537af618374!5m2!4m1!1i2!8m2!3d-2.7971622!4d-40.5144084!16s%2Fg%2F11c1rcfssn!19sChIJIS8oYx6E6QcRdINhrzdF9mg?authuser=0&hl=en&rclk=1
Pousada O Refúgio,4.9,172,3-star hotel,3-star hotel,,,,,https://www.google.com/maps/place/Pousada+O+Ref%C3%BAgio/data=!4m10!3m9!1s0x7e98689765d0b6d:0x1c1742ac0e2b9556!5m2!4m1!1i2!8m2!3d-2.7968024!4d-40.5154539!16s%2Fg%2F11g6bgb_bw!19sChIJbQtddomG6QcRVpUrDqxCFxw?authuser=0&hl=en&rclk=1
Pousada Casa Suíça Brasileira - Jericoacoara,4.7,298,Hotel,,,,,,https://www.google.com/maps/place/Pousada+Casa+Su%C3%AD%C3%A7a+Brasileira+-+Jericoacoara/data=!4m10!3m9!1s0x7e9868f5ae99c41:0x3ac92f7d6b6494a3!5m2!4m1!1i2!8m2!3d-2.793557!4d-40.5186972!16s%2Fg%2F1s04f7myv!19sChIJQZzpWo-G6QcRo5Rka30vyTo?authuser=0&hl=en&rclk=1
Pousada do Norte,4.5,1688,3-star hotel,3-star hotel,,,,,https://www.google.com/maps/place/Pousada+do+Norte/data=!4m10!3m9!1s0x7e98660f56abc23:0xfb4dcb1f3c2aa00!5m2!4m1!1i2!8m2!3d-2.7974901!4d-40.5169779!16s%2Fg%2F1ptwdpg5c!19sChIJI7xq9WCG6QcRAKrC87HctA8?authuser=0&hl=en&rclk=1
Pousada Isabel - Jericoacoara - Ceará,4.1,279,,,,,,,https://www.google.com/maps/place/Pousada+Isabel+-+Jericoacoara+-+Cear%C3%A1/data=!4m10!3m9!1s0x7e9868f6a8cfa19:0x8d5d0b588ee48db8!5m2!4m1!1i2!8m2!3d-2.7944714!4d-40.5195113!16s%2Fg%2F1tmqrl3m!19sChIJGfqMao-G6QcRuI3kjlgLXY0?authuser=0&hl=en&rclk=1
Pousada Alquimia,4.8,212,2-star hotel,2-star hotel,,,,,https://www.google.com/maps/place/Pousada+Alquimia/data=!4m10!3m9!1s0x7ea26141a9f0877:0x301d9fb692c4b4e5!5m2!4m1!1i2!8m2!3d-2.7952997!4d-40.5134891!16s%2Fg%2F1ydkj410q!19sChIJdwifGhQm6gcR5bTEkrafHTA?authuser=0&hl=en&rclk=1
Pousada Jericó,4.5,432,2-star hotel,2-star hotel,,,,,https://www.google.com/maps/place/Pousada+Jeric%C3%B3/data=!4m10!3m9!1s0x7e98688ced50855:0x4e4946a2f657e99a!5m2!4m1!1i2!8m2!3d-2.7946114!4d-40.5174071!16s%2Fg%2F11cmyv5b__!19sChIJVQjVzoiG6QcRmulX9qJGSU4?authuser=0&hl=en&rclk=1
Essenza Dune,4.7,406,5-star hotel,5-star hotel,,,,,https://www.google.com/maps/place/Essenza+Dune/data=!4m10!3m9!1s0x7e9868a2e13907d:0x5f08ae7c47fb8887!5m2!4m1!1i2!8m2!3d-2.7981987!4d-40.5165557!16s%2Fg%2F11g65507_t!19sChIJfZATLoqG6QcRh4j7R3yuCF8?authuser=0&hl=en&rclk=1
Pousada Baobá Jericoacoara,4.7,294,3-star hotel,3-star hotel,,,,,https://www.google.com/maps/place/Pousada+Baob%C3%A1+Jericoacoara/data=!4m10!3m9!1s0x7970f953edb261f:0x6ae7e22d394962aa!5m2!4m1!1i2!8m2!3d-2.7962775!4d-40.5170249!16s%2Fg%2F11byflj7t9!19sChIJHybbPpUPlwcRqmJJOS3i52o?authuser=0&hl=en&rclk=1
Pousada em Jericoacoara | Pousada da Renata | Pousada com Piscina Jericoacoara,4.7,208,Hotel,,,,,,https://www.google.com/maps/place/Pousada+em+Jericoacoara+%7C+Pousada+da+Renata+%7C+Pousada+com+Piscina+Jericoacoara/data=!4m10!3m9!1s0x7e9866243d21c4f:0xfdda975709dd5a9!5m2!4m1!1i2!8m2!3d-2.796168!4d-40.511291!16s%2Fg%2F11ckzdz5n9!19sChIJTxzSQ2KG6QcRqdWdcHWp3Q8?authuser=0&hl=en&rclk=1
Samba Do Kite Pousada,4.3,321,2-star hotel,2-star hotel,,,,,https://www.google.com/maps/place/Samba+Do+Kite+Pousada/data=!4m10!3m9!1s0x7e986893f8b5969:0x6467d17b95bd92d3!5m2!4m1!1i2!8m2!3d-2.7974434!4d-40.5162284!16s%2Fg%2F12hk1kwct!19sChIJaVmLP4mG6QcR05K9lXvRZ2Q?authuser=0&hl=en&rclk=1
Jeri Pousada - Jericoacoara,4.6,44,,,,,,,https://www.google.com/maps/place/Jeri+Pousada+-+Jericoacoara/data=!4m10!3m9!1s0x7e987f5759ce385:0x63537e8e78ce3f06!5m2!4m1!1i2!8m2!3d-2.7955615!4d-40.5145613!16s%2Fg%2F11s7wjp4_m!19sChIJheOcdfWH6QcRBj_OeI5-U2M?authuser=0&hl=en&rclk=1
Casarão Jeri,4.8,267,2-star hotel,2-star hotel,,,,,https://www.google.com/maps/place/Casar%C3%A3o+Jeri/data=!4m10!3m9!1s0x7e987c6fcd6c115:0x33007d8cc41f94e8!5m2!4m1!1i2!8m2!3d-2.7944763!4d-40.5178536!16s%2Fg%2F11hdwfb02g!19sChIJFcHW_MaH6QcR6JQfxIx9ADM?authuser=0&hl=en&rclk=1
Pousada WindJeri,4.8,56,,,,,,,https://www.google.com/maps/place/Pousada+WindJeri/data=!4m10!3m9!1s0x7e9878b06db6157:0x2041dfce15ac5f62!5m2!4m1!1i2!8m2!3d-2.7942062!4d-40.5187292!16s%2Fg%2F11ttb9z8z6!19sChIJV2HbBouH6QcRYl-sFc7fQSA?authuser=0&hl=en&rclk=1
Pousada Ibirapuera,4.7,180,,,,,,,https://www.google.com/maps/place/Pousada+Ibirapuera/data=!4m10!3m9!1s0x7e986898337a095:0x7529fee2ae698c98!5m2!4m1!1i2!8m2!3d-2.7968942!4d-40.5150329!16s%2Fg%2F11bvvzq8lt!19sChIJlaA3g4mG6QcRmIxpruL-KXU?authuser=0&hl=en&rclk=1
Pousada Toca Jeri,4.7,78,Hotel,,,,,,https://www.google.com/maps/place/Pousada+Toca+Jeri/data=!4m10!3m9!1s0x7e987eacf5f7e93:0x29bbff61a47bc1c0!5m2!4m1!1i2!8m2!3d-2.7970821!4d-40.5111233!16s%2Fg%2F11rjtspdn5!19sChIJk35fz-qH6QcRwMF7pGH_uyk?authuser=0&hl=en&rclk=1
Pousada em Jericoacoara | Swiss Garten Jeri | Hospedagem com Cozinha completa | 200m da Praia | Totalmente Privativa,4.6,34,,,,,,,https://www.google.com/maps/place/Pousada+em+Jericoacoara+%7C+Swiss+Garten+Jeri+%7C+Hospedagem+com+Cozinha+completa+%7C+200m+da+Praia+%7C+Totalmente+Privativa/data=!4m10!3m9!1s0x7e98734a053f423:0x3639f0c661d4a5fb!5m2!4m1!1i2!8m2!3d-2.7938592!4d-40.5183473!16s%2Fg%2F11h7sprj5x!19sChIJI_RToDSH6QcR-6XUYcbwOTY?authuser=0&hl=en&rclk=1
Pousada Fortal jeri,4.7,155,3-star hotel,3-star hotel,,,,,https://www.google.com/maps/place/Pousada+Fortal+jeri/data=!4m10!3m9!1s0x7e9875debefe219:0xd23901da00c8518b!5m2!4m1!1i2!8m2!3d-2.8003259!4d-40.5133869!16s%2Fg%2F11vpdpdwrk!19sChIJGeLv612H6QcRi1HIANoBOdI?authuser=0&hl=en&rclk=1
Pousada Jerimar | Jijoca de Jericoacoara,4.3,364,2-star hotel,2-star hotel,,,,,https://www.google.com/maps/place/Pousada+Jerimar+%7C+Jijoca+de+Jericoacoara/data=!4m10!3m9!1s0x7e986894726e83d:0x2a1f7c3f44df3b03!5m2!4m1!1i2!8m2!3d-2.7962982!4d-40.5168838!16s%2Fg%2F11cm1m_zlk!19sChIJPegmR4mG6QcRAzvfRD98Hyo?authuser=0&hl=en&rclk=1
Pousada Papaya,4.6,219,2-star hotel,2-star hotel,,,,,https://www.google.com/maps/place/Pousada+Papaya/data=!4m10!3m9!1s0x7c7466eaaaaaaab:0xd027af2b0f1ca369!5m2!4m1!1i2!8m2!3d-2.7982542!4d-40.5155162!16s%2Fg%2F1tdlbyhq!19sChIJq6qqqm5GxwcRaaMcDyuvJ9A?authuser=0&hl=en&rclk=1
POUSADA ZOOM JERICOACOARA,4.8,32,,,,,,,https://www.google.com/maps/place/POUSADA+ZOOM+JERICOACOARA/data=!4m10!3m9!1s0x7e987f14083792d:0x268c6d468c0153c1!5m2!4m1!1i2!8m2!3d-2.7974159!4d-40.510912!16s%2Fg%2F11x0j10fx7!19sChIJLXmDQPGH6QcRwVMBjEZtjCY?authuser=0&hl=en&rclk=1
Pousada Numei de Jeri,4.3,451,2-star hotel,2-star hotel,,,,,https://www.google.com/maps/place/Pousada+Numei+de+Jeri/data=!4m10!3m9!1s0x7e98689ad7b0f55:0x92686c870738588d!5m2!4m1!1i2!8m2!3d-2.7956849!4d-40.5145496!16s%2Fg%2F11b6nn56cl!19sChIJVQ97rYmG6QcRjVg4B4dsaJI?authuser=0&hl=en&rclk=1
Pousada do Mauricio,4.8,648,,,,,,,https://www.google.com/maps/place/Pousada+do+Mauricio/data=!4m10!3m9!1s0x7e98660f56abc49:0x393eae95bda3107d!5m2!4m1!1i2!8m2!3d-2.7960748!4d-40.5177991!16s%2Fg%2F11cfhd5fn!19sChIJSbxq9WCG6QcRfRCjvZWuPjk?authuser=0&hl=en&rclk=1
Trip Bar Hostel,4.2,154,,,,,,,https://www.google.com/maps/place/Trip+Bar+Hostel/data=!4m10!3m9!1s0x7e98688bddcbb0b:0x711618899c278858!5m2!4m1!1i2!8m2!3d-2.7940672!4d-40.5166153!16s%2Fg%2F11c2jwj1jb!19sChIJC7vcvYiG6QcRWIgnnIkYFnE?authuser=0&hl=en&rclk=1
Malai beach hotel,4.1,174,3-star hotel,3-star hotel,,,,,https://www.google.com/maps/place/Malai+beach+hotel/data=!4m10!3m9!1s0x7e9868a56854603:0xc0b472b585d1172c!5m2!4m1!1i2!8m2!3d-2.7979034!4d-40.51606!16s%2Fg%2F11fjtb1ph1!19sChIJA0aFVoqG6QcRLBfRhbVytMA?authuser=0&hl=en&rclk=1
Pousada Coral Negro,4.8,122,,,,,,,https://www.google.com/maps/place/Pousada+Coral+Negro/data=!4m10!3m9!1s0x7e9870e2bd0f0c9:0x5249e64a21b78467!5m2!4m1!1i2!8m2!3d-2.7951642!4d-40.5177757!16s%2Fg%2F11q2ttz9kj!19sChIJyfDQKw6H6QcRZ4S3IUrmSVI?authuser=0&hl=en&rclk=1
Morada da Praia Pousada,4.9,58,,,,,,,https://www.google.com/maps/place/Morada+da+Praia+Pousada/data=!4m10!3m9!1s0x7e98712542ec475:0xfda50569b2e069cd!5m2!4m1!1i2!8m2!3d-2.7967123!4d-40.5164144!16s%2Fg%2F11t1dxnckk!19sChIJdcQuVBKH6QcRzWngsmkFpf0?authuser=0&hl=en&rclk=1
